name,link
Syntax,https://store.steampowered.com/app/3475370/Syntax/?snr=1_7_7_230_150_1
街头烤肠王,https://store.steampowered.com/app/3423430/_/?snr=1_7_7_230_150_1
Monochrome Nemesis,https://store.steampowered.com/app/3478450/Monochrome_Nemesis/?snr=1_7_7_230_150_1
Stella Can't Hear,https://store.steampowered.com/app/3436490/Stella_Cant_Hear/?snr=1_7_7_230_150_1
東方ファンタジー ～toho fantasy～,https://store.steampowered.com/app/3483220/_toho_fantasy/?snr=1_7_7_230_150_1
Red Horizon: Mars,https://store.steampowered.com/app/3448570/Red_Horizon_Mars/?snr=1_7_7_230_150_1
Astral Throne,https://store.steampowered.com/app/2560500/Astral_Throne/?snr=1_7_7_230_150_1
Get Tilted! :),https://store.steampowered.com/app/2939360/Get_Tilted/?snr=1_7_7_230_150_1
POLE VAULT,https://store.steampowered.com/app/3264320/POLE_VAULT/?snr=1_7_7_230_150_1
Boo! Hunt,https://store.steampowered.com/app/3433430/Boo_Hunt/?snr=1_7_7_230_150_1
An Eternity Gone By,https://store.steampowered.com/app/2735110/An_Eternity_Gone_By/?snr=1_7_7_230_150_1
Haut: Episode One,https://store.steampowered.com/app/3110220/Haut_Episode_One/?snr=1_7_7_230_150_1
Pillow Fight,https://store.steampowered.com/app/3460950/Pillow_Fight/?snr=1_7_7_230_150_1
Cursed Fables: A Gilded Rose Collector's Edition,https://store.steampowered.com/app/3504260/Cursed_Fables_A_Gilded_Rose_Collectors_Edition/?snr=1_7_7_230_150_1
STACK-eRZ,https://store.steampowered.com/app/3421620/STACKeRZ/?snr=1_7_7_230_150_1
Los Pingheros,https://store.steampowered.com/app/2418600/Los_Pingheros/?snr=1_7_7_230_150_1
Last Half of Darkness,https://store.steampowered.com/app/3096000/Last_Half_of_Darkness/?snr=1_7_7_230_150_1
Atlas Protocol - Escape Room,https://store.steampowered.com/app/3292780/Atlas_Protocol__Escape_Room/?snr=1_7_7_230_150_1
Slug Wars,https://store.steampowered.com/app/3445050/Slug_Wars/?snr=1_7_7_230_150_1
